CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
VANDALISM,10/24/2017 07:00:00 PM,17-916879,VANDALISM,,500 20TH ST,Oakland,CA,"500 20TH ST
Oakland, CA
(37.809581, -122.269628)"
VANDALISM,09/08/2017 07:00:00 PM,17-914153,VANDALISM,08X,500 27TH ST,Oakland,CA,"500 27TH ST
Oakland, CA
(37.816128, -122.267219)"
MOTOR VEHICLE THEFT,10/06/2017 11:27:00 AM,17-052428,VEHICLE THEFT - AUTO,22Y,3300 GEORGIA ST,Oakland,CA,"3300 GEORGIA ST
Oakland, CA
(37.794807, -122.20291)"
ASSAULT,09/09/2017 11:16:00 PM,17-047455,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,27Y,5900 HARMON AV,Oakland,CA,"5900 HARMON AV
Oakland, CA
(37.768042, -122.194877)"
ASSAULT,09/16/2017 04:37:00 PM,17-048647,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,2400 96TH AV,Oakland,CA,"2400 96TH AV
Oakland, CA
(37.750884, -122.160601)"
MOTOR VEHICLE THEFT,11/22/2017 09:10:00 AM,17-061019,VEHICLE THEFT - AUTO,03X,800 WEBSTER ST ST,Oakland,CA,"800 WEBSTER ST ST
Oakland, CA
(37.799511, -122.271207)"
VANDALISM,11/16/2017 09:37:00 AM,17-059975,VANDALISM [UNDER $400],32X,11000 SAN LEANDRO ST,Oakland,CA,"11000 SAN LEANDRO ST
Oakland, CA
(37.732611, -122.171182)"
ASSAULT,09/04/2017 04:40:00 PM,17-046434,ADW WITH FORCE: POSSIBLE GBI,27Y,1400 SEMINARY AV,Oakland,CA,"1400 SEMINARY AV
Oakland, CA
(37.765111, -122.19952)"
THEFT/LARCENY,10/22/2017 06:30:00 PM,17-916800,THEFT,13Z,2200 ARROWHEAD DRIVE,Oakland,CA,"2200 ARROWHEAD DRIVE
Oakland, CA
(37.836134, -122.190307)"
THEFT/LARCENY,10/23/2017 07:10:00 PM,17-916807,BURGLARY-AUTO,08X,2600 TELEGRAPH AVE,Oakland,CA,"2600 TELEGRAPH AVE
Oakland, CA
(37.815778, -122.268012)"
MOTOR VEHICLE THEFT,09/02/2017 06:45:00 AM,17-913847,ATTEMPT VEHICLE THEFT-AUTO,22Y,3400 MAPLE AV,Oakland,CA,"3400 MAPLE AV
Oakland, CA
(37.795452, -122.206882)"
VANDALISM,08/30/2017 12:55:00 PM,17-913647,VANDALISM,04X,500 16TH ST,Oakland,CA,"500 16TH ST
Oakland, CA
(37.806119, -122.270459)"
ASSAULT,09/01/2017 02:20:00 PM,17-045874,BATTERY,14X,200 GRAND AV,Oakland,CA,"200 GRAND AV
Oakland, CA
(37.810775, -122.26147)"
ASSAULT,10/24/2017 11:40:00 AM,17-055821,THREAT CRIME:INT:TERRORIZE,21Y,3100 ASHBROOK CT,Oakland,CA,"3100 ASHBROOK CT
Oakland, CA
(37.786452, -122.222164)"
THEFT/LARCENY,09/30/2017 05:20:00 PM,17-915399,BURGLARY-AUTO,15X,3000 LAKESHORE AVE,Oakland,CA,"3000 LAKESHORE AVE
Oakland, CA
(37.809129, -122.247475)"
THEFT/LARCENY,11/04/2017 05:52:00 PM,17-917453,BURGLARY-AUTO,04X,400 22ND ST,Oakland,CA,"400 22ND ST
Oakland, CA
(37.81094, -122.267393)"
ROBBERY,11/21/2017 07:26:00 PM,17-060927,ROBBERY-FIREARM,20X,300 23RD AV,Oakland,CA,"300 23RD AV
Oakland, CA
(37.773198, -122.235897)"
VANDALISM,10/25/2017 03:30:00 PM,17-916863,VANDALISM,27X,5100 FOOTHILL BOULEVARD,Oakland,CA,"5100 FOOTHILL BOULEVARD
Oakland, CA
(37.772637, -122.205087)"
THEFT/LARCENY,10/20/2017 02:30:00 PM,17-916760,BURGLARY-AUTO,32Y,9800 BURR ST,Oakland,CA,"9800 BURR ST
Oakland, CA
(37.750766, -122.155656)"
ASSAULT,09/10/2017 03:54:00 PM,17-047546,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,23X,1800 ROSEDALE AV,Oakland,CA,"1800 ROSEDALE AV
Oakland, CA
(37.776224, -122.215605)"
MOTOR VEHICLE THEFT,11/21/2017 05:00:00 PM,17-061092,VEHICLE THEFT - AUTO,23X,3200 E 9TH ST,Oakland,CA,"3200 E 9TH ST
Oakland, CA
(37.77355, -122.228132)"
THEFT/LARCENY,09/05/2017 08:30:00 PM,17-914017,BURGLARY-AUTO,04X,2200 MARTIN LUTHER KING JR W,Oakland,CA,"2200 MARTIN LUTHER KING JR W
Oakland, CA
"
VANDALISM,10/24/2017 08:50:00 AM,17-916837,VANDALISM,15X,900 PROSPECT AVE,Oakland,CA,"900 PROSPECT AVE
Oakland, CA
(37.804318, -122.23962)"
BURGLARY,10/05/2017 09:00:00 AM,17-052301,BURGLARY-NO FORCE,15X,300 HANOVER AV,Oakland,CA,"300 HANOVER AV
Oakland, CA
(37.802736, -122.251817)"
MOTOR VEHICLE THEFT,10/04/2017 11:00:00 PM,17-052292,VEHICLE THEFT - AUTO,21Y,3200 LOGAN ST,Oakland,CA,"3200 LOGAN ST
Oakland, CA
(37.787612, -122.221212)"
THEFT/LARCENY,09/06/2017 11:00:00 PM,17-914073,BURGLARY-AUTO,13Z,2100 MOUNTAIN BOULEVARD,Oakland,CA,"2100 MOUNTAIN BOULEVARD
Oakland, CA
(37.825266, -122.209751)"
THEFT/LARCENY,10/13/2017 08:00:00 PM,17-916235,BURGLARY-AUTO,21Y,2700 SCHOOL ST,Oakland,CA,"2700 SCHOOL ST
Oakland, CA
(37.795804, -122.217789)"
THEFT/LARCENY,09/07/2017 08:30:00 PM,17-914122,BURGLARY-AUTO,01X,500 3RD ST,Oakland,CA,"500 3RD ST
Oakland, CA
(37.797189, -122.277105)"
THEFT/LARCENY,09/09/2017 09:45:00 PM,17-914261,BURGLARY-AUTO,03X,300 9TH ST,Oakland,CA,"300 9TH ST
Oakland, CA
(37.799419, -122.269606)"
THEFT/LARCENY,08/30/2017 08:25:00 AM,17-913651,BURGLARY-AUTO,,FRUITVALE AVE,Oakland,CA,"FRUITVALE AVE
Oakland, CA
"
ROBBERY,09/08/2017 04:45:00 PM,17-047276,CARJACKING WITH KNIFE,29X,7100 OUTLOOK AV,Oakland,CA,"7100 OUTLOOK AV
Oakland, CA
(37.771426, -122.17101)"
THEFT/LARCENY,09/05/2017 08:30:00 PM,17-046744,BURGLARY-AUTO,14X,500 GRAND AV,Oakland,CA,"500 GRAND AV
Oakland, CA
(37.808596, -122.251324)"
VANDALISM,08/31/2017 06:00:00 PM,17-913721,VANDALISM,08X,2600 HARRISON ST,Oakland,CA,"2600 HARRISON ST
Oakland, CA
(37.813652, -122.260691)"
SEX CRIMES,09/06/2017 06:42:00 PM,17-046915,DISORDERLY CONDUCT:PROSTITUTION,07X,3600 MANDELA PKWY,Oakland,CA,"3600 MANDELA PKWY
Oakland, CA
(37.827326, -122.289221)"
THEFT/LARCENY,09/10/2017 01:00:00 AM,17-914253,THEFT,14X,200 VERNON ST,Oakland,CA,"200 VERNON ST
Oakland, CA
(37.813509, -122.258949)"
VANDALISM,10/10/2017 09:50:00 AM,17-054497,VANDALISM,27Y,6300 INTERNATIONAL BLVD,Oakland,CA,"6300 INTERNATIONAL BLVD
Oakland, CA
(37.763702, -122.196546)"
ASSAULT,10/28/2017 07:40:00 PM,17-056677,BATTERY,27Y,5900 INTERNATIONAL BLVD,Oakland,CA,"5900 INTERNATIONAL BLVD
Oakland, CA
(37.765111, -122.19952)"
THEFT/LARCENY,10/14/2017 02:30:00 PM,17-916213,BURGLARY-AUTO,31X,8400 EDGEWATER DRIVE,Oakland,CA,"8400 EDGEWATER DRIVE
Oakland, CA
(37.737486, -122.198228)"
THEFT/LARCENY,09/09/2017 10:59:00 PM,17-914256,BURGLARY-AUTO,,22ND ST/ BROADWAY/ TELEGRAPH ST,Oakland,CA,"22ND ST/ BROADWAY/ TELEGRAPH ST
Oakland, CA
"
DRUGS/ALCOHOL VIOLATIONS,09/01/2017 05:00:00 PM,17-045883,POSSESS/PURCHASE COCAINE BASE FOR SALE,15X,2300 PARK BLVD,Oakland,CA,"2300 PARK BLVD
Oakland, CA
(37.801663, -122.245102)"
ASSAULT,11/20/2017 11:30:00 AM,17-060766,THREAT CRIME:INT:TERRORIZE,24X,2100 38TH AV,Oakland,CA,"2100 38TH AV
Oakland, CA
(37.781197, -122.213618)"
THEFT/LARCENY,10/13/2017 12:00:00 AM,17-916189,THEFT,01X,200 3RD ST,Oakland,CA,"200 3RD ST
Oakland, CA
(37.794649, -122.270557)"
THEFT/LARCENY,11/22/2017 08:30:00 AM,17-061103,THEFT,30Y,"6900 FOOTHILL BLV,",Oakland,CA,"6900 FOOTHILL BLV,
Oakland, CA
(37.769668, -122.175929)"
THEFT/LARCENY,09/07/2017 07:30:00 PM,17-914222,BURGLARY-AUTO,09X,3800 HOWE ST,Oakland,CA,"3800 HOWE ST
Oakland, CA
(37.824659, -122.256317)"
MOTOR VEHICLE THEFT,10/22/2017 05:45:00 PM,17-057624,SC STOLEN VEHICLE - AUTO,12Y,5200 SHAFTER AV,Oakland,CA,"5200 SHAFTER AV
Oakland, CA
(37.837985, -122.257248)"
VANDALISM,08/29/2017 09:45:00 PM,17-913624,VANDALISM,08X,2300 WEBSTER ST,Oakland,CA,"2300 WEBSTER ST
Oakland, CA
(37.812134, -122.265203)"
THEFT/LARCENY,10/12/2017 01:05:00 PM,17-916883,BURGLARY-AUTO,08X,2500 HARRISON ST,Oakland,CA,"2500 HARRISON ST
Oakland, CA
(37.812819, -122.261413)"
THEFT/LARCENY,10/05/2017 05:00:00 PM,17-052418,BURGLARY-AUTO,14Y,400 SANTA CLARA AV,Oakland,CA,"400 SANTA CLARA AV
Oakland, CA
(37.812897, -122.248519)"
MOTOR VEHICLE THEFT,11/22/2017 10:00:00 PM,17-061114,VEHICLE THEFT - AUTO,07X,2700 CHESTNUT ST,Oakland,CA,"2700 CHESTNUT ST
Oakland, CA
(37.819646, -122.281308)"
VANDALISM,10/25/2017 01:00:00 AM,17-916889,VANDALISM,06X,900 35TH ST,Oakland,CA,"900 35TH ST
Oakland, CA
(37.825542, -122.275198)"
MOTOR VEHICLE THEFT,09/30/2017 11:00:00 AM,17-052448,VEHICLE THEFT - AUTO,27X,1600 HIGH ST,Oakland,CA,"1600 HIGH ST
Oakland, CA
(37.773599, -122.213189)"
ASSAULT,09/04/2017 03:00:00 PM,17-046426,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,27Y,6000 INTERNATIONAL BLVD,Oakland,CA,"6000 INTERNATIONAL BLVD
Oakland, CA
(37.764741, -122.198762)"
ASSAULT,09/05/2017 10:57:00 AM,17-046596,BATTERY,04X,300 FRANK O GAWA PLAZA,Oakland,CA,"300 FRANK O GAWA PLAZA
Oakland, CA
(37.805568, -122.271641)"
MOTOR VEHICLE THEFT,10/04/2017 09:30:00 PM,17-052176,VEHICLE THEFT - AUTO,13Y,2000 TUNNEL RD,Oakland,CA,"2000 TUNNEL RD
Oakland, CA
(37.860283, -122.220864)"
THEFT/LARCENY,09/01/2017 09:34:00 AM,17-045822,RECEIVING/CONCEALING STOLEN PROPERTY NOT MORE THAN $950,12X,400 41ST ST,Oakland,CA,"400 41ST ST
Oakland, CA
(37.829209, -122.259578)"
THEFT/LARCENY,08/31/2017 12:40:00 PM,17-913757,GRAND THEFT,08X,2300 BROADWAY,Oakland,CA,"2300 BROADWAY
Oakland, CA
(37.812446, -122.266048)"
ROBBERY,09/14/2017 01:00:00 PM,17-048244,ROBBERY-KNIFE OR CUTTING INSTRUMENT,15X,200 E 18TH ST,Oakland,CA,"200 E 18TH ST
Oakland, CA
(37.800206, -122.253258)"
ASSAULT,10/17/2017 03:00:00 AM,17-054436,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,02X,1100 12TH ST,Oakland,CA,"1100 12TH ST
Oakland, CA
(37.807899, -122.285767)"
THEFT/LARCENY,09/06/2017 01:59:00 PM,17-914069,BURGLARY-AUTO,03X,1100 MADISON ST,Oakland,CA,"1100 MADISON ST
Oakland, CA
(37.799969, -122.265039)"
MOTOR VEHICLE THEFT,11/17/2017 10:15:00 AM,17-060173,VEHICLE THEFT - AUTO,23X,4000 ALAMEDA AV,Oakland,CA,"4000 ALAMEDA AV
Oakland, CA
(37.768208, -122.22405)"
VANDALISM,09/18/2017 07:05:00 AM,17-914767,VANDALISM,21X,2600 FOOTHILL BLVD,Oakland,CA,"2600 FOOTHILL BLVD
Oakland, CA
(37.784562, -122.228957)"
THEFT/LARCENY,11/22/2017 10:00:00 PM,17-061166,BURGLARY-AUTO,26X,PARKING GARAGE AT 881 69TH AVE AV,Oakland,CA,"PARKING GARAGE AT 881 69TH AVE AV
Oakland, CA
"
THEFT/LARCENY,11/09/2017 02:00:00 PM,17-058994,PETTY THEFT:$50-,17Y,1100 E 24TH ST,Oakland,CA,"1100 E 24TH ST
Oakland, CA
(37.797943, -122.239626)"
VANDALISM,10/23/2017 12:00:00 AM,17-916774,VANDALISM,,2600 BLK 26TH ST,Oakland,CA,"2600 BLK 26TH ST
Oakland, CA
"
ASSAULT,11/16/2017 07:45:00 AM,17-059962,BATTERY,32Y,9900 BANCROFT AV,Oakland,CA,"9900 BANCROFT AV
Oakland, CA
(37.746208, -122.160018)"
ASSAULT,11/16/2017 03:00:00 PM,17-060047,EXHIBIT FIREARM,35X,2300 96TH AV,Oakland,CA,"2300 96TH AV
Oakland, CA
(37.750273, -122.16191)"
FRAUD,09/11/2017 12:15:00 PM,17-914321,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,22Y,3000 MACARTHUR BOULEVARD,Oakland,CA,"3000 MACARTHUR BOULEVARD
Oakland, CA
(37.797301, -122.204779)"
VANDALISM,11/04/2017 08:30:00 PM,17-917487,VANDALISM,04X,1900 FRANKLIN ST,Oakland,CA,"1900 FRANKLIN ST
Oakland, CA
(37.807302, -122.267798)"
THEFT/LARCENY,08/28/2017 05:00:00 PM,17-045475,THEFT,23X,4200 FOOTHILL BLVD,Oakland,CA,"4200 FOOTHILL BLVD
Oakland, CA
(37.775728, -122.212966)"
THEFT/LARCENY,09/08/2017 12:00:00 PM,17-914123,BURGLARY-AUTO,09X,4500 GILBERT ST,Oakland,CA,"4500 GILBERT ST
Oakland, CA
(37.832938, -122.250865)"
MOTOR VEHICLE THEFT,10/25/2017 02:00:00 PM,17-056582,VEHICLE THEFT - AUTO,04X,1500 JACKSON ST,Oakland,CA,"1500 JACKSON ST
Oakland, CA
(37.802902, -122.264655)"
MOTOR VEHICLE THEFT,10/03/2017 09:16:00 PM,17-051850,VEHICLE THEFT - AUTO,35X,8800 THERMAL ST,Oakland,CA,"8800 THERMAL ST
Oakland, CA
(37.757306, -122.160812)"
VANDALISM,09/10/2017 07:00:00 PM,17-047575,VANDALISM:DAMAGE PROPERTY,19X,1500 E 15TH ST,Oakland,CA,"1500 E 15TH ST
Oakland, CA
(37.789456, -122.243882)"
BURGLARY,10/05/2017 03:30:00 PM,17-052297,BURGLARY-FORCIBLE ENTRY,25Y,00 SIENA DR,Oakland,CA,"00 SIENA DR
Oakland, CA
"
ARSON,09/06/2017 10:32:00 PM,17-046959,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,27X,2300 COURTLAND AV,Oakland,CA,"2300 COURTLAND AV
Oakland, CA
(37.778879, -122.206196)"
ASSAULT,11/21/2017 09:45:00 PM,17-060951,BATTERY,31X,7000 COLISEUM WY,Oakland,CA,"7000 COLISEUM WY
Oakland, CA
(37.754734, -122.204926)"
VANDALISM,09/30/2017 11:00:00 AM,17-915385,VANDALISM,04X,1400 JACKSON ST,Oakland,CA,"1400 JACKSON ST
Oakland, CA
(37.801984, -122.265237)"
ASSAULT,08/30/2017 12:00:00 PM,17-047267,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27Y,1400 61ST AV,Oakland,CA,"1400 61ST AV
Oakland, CA
(37.764665, -122.198189)"
ASSAULT,09/09/2017 06:38:00 PM,17-047415,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32X,900 BLENHEIM ST,Oakland,CA,"900 BLENHEIM ST
Oakland, CA
(37.734047, -122.172745)"
THEFT/LARCENY,10/25/2017 06:30:00 AM,17-916880,BURGLARY-AUTO,35X,2300 92ND AVE,Oakland,CA,"2300 92ND AVE
Oakland, CA
(37.753201, -122.164087)"
VANDALISM,10/24/2017 09:50:00 AM,17-916841,VANDALISM,15X,600 ALMA AVE,Oakland,CA,"600 ALMA AVE
Oakland, CA
(37.804296, -122.239172)"
MOTOR VEHICLE THEFT,10/01/2017 10:00:00 PM,17-052077,VEHICLE THEFT - AUTO,23X,3300 SAN LEANDRO ST,Oakland,CA,"3300 SAN LEANDRO ST
Oakland, CA
(37.774825, -122.225927)"
ROBBERY,11/22/2017 05:15:00 PM,17-061084,ATTEMPTED ROBBERY-FIREARM,12Y,5300 CLAREMONT AVE,Oakland,CA,"5300 CLAREMONT AVE
Oakland, CA
(37.840011, -122.259873)"
ROBBERY,10/14/2017 11:35:00 PM,17-054006,ROBBERY-FIREARM,02Y,1100 PERALTA ST,Oakland,CA,"1100 PERALTA ST
Oakland, CA
(37.809194, -122.295674)"
ASSAULT,09/09/2017 07:50:00 AM,17-047431,BATTERY,14X,300 MACARTHUR BLVD,Oakland,CA,"300 MACARTHUR BLVD
Oakland, CA
(37.817514, -122.25297)"
THEFT/LARCENY,10/16/2017 04:30:00 PM,17-916763,THEFT,04X,400 20TH ST,Oakland,CA,"400 20TH ST
Oakland, CA
(37.808673, -122.267259)"
THEFT/LARCENY,09/01/2017 11:39:00 AM,17-045851,THEFT,01X,400 CLAY ST,Oakland,CA,"400 CLAY ST
Oakland, CA
(37.798823, -122.2776)"
MOTOR VEHICLE THEFT,08/31/2017 07:00:00 PM,17-045863,VEHICLE THEFT - AUTO,05Y,1600 CAMPBELL ST,Oakland,CA,"1600 CAMPBELL ST
Oakland, CA
(37.813826, -122.293821)"
MOTOR VEHICLE THEFT,11/08/2017 08:30:00 PM,17-058852,VEHICLE THEFT - AUTO,31Y,100 HEGENBERGER LOOP,Oakland,CA,"100 HEGENBERGER LOOP
Oakland, CA
(37.734807, -122.195819)"
THEFT/LARCENY,10/16/2017 08:35:00 PM,17-054389,BURGLARY-AUTO,25X,4000 MACARTHUR BLVD,Oakland,CA,"4000 MACARTHUR BLVD
Oakland, CA
(37.79043, -122.197613)"
ASSAULT,09/17/2017 05:16:00 AM,17-048727,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,20X,2600 INTERNATIONAL BLVD,Oakland,CA,"2600 INTERNATIONAL BLVD
Oakland, CA
(37.781348, -122.232433)"
FRAUD,09/09/2017 03:10:00 AM,17-914225,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,10X,1000 63RD ST,Oakland,CA,"1000 63RD ST
Oakland, CA
(37.846645, -122.280262)"
MOTOR VEHICLE THEFT,08/30/2017 07:50:00 PM,17-045544,VEHICLE THEFT - AUTO,15X,600 ALMA AV,Oakland,CA,"600 ALMA AV
Oakland, CA
(37.804296, -122.239172)"
ASSAULT,11/22/2017 08:59:00 PM,17-061107,BATTERY,22X,3500 RHODA AV,Oakland,CA,"3500 RHODA AV
Oakland, CA
(37.798752, -122.209856)"
VANDALISM,09/05/2017 07:45:00 PM,17-914158,VANDALISM,,W CORNER CARRINGTON AND 39TH AV,Oakland,CA,"W CORNER CARRINGTON AND 39TH AV
Oakland, CA
"
THEFT/LARCENY,10/22/2017 09:30:00 AM,17-916853,THEFT,08X,2800 SUMMIT ST,Oakland,CA,"2800 SUMMIT ST
Oakland, CA
(37.81639, -122.264966)"
ROBBERY,09/08/2017 09:00:00 PM,17-047291,ROBBERY-FIREARM,12X,400 41ST ST,Oakland,CA,"400 41ST ST
Oakland, CA
(37.829209, -122.259578)"
THEFT/LARCENY,10/21/2017 06:00:00 PM,17-916754,THEFT,10Y,800 STANFORD AVE,Oakland,CA,"800 STANFORD AVE
Oakland, CA
(37.846191, -122.273019)"
THEFT/LARCENY,10/13/2017 08:00:00 PM,17-916252,BURGLARY-AUTO,03X,1000BLK HARRISON ST,Oakland,CA,"1000BLK HARRISON ST
Oakland, CA
(37.800161, -122.269343)"
THEFT/LARCENY,10/13/2017 07:30:00 PM,17-916230,THEFT,19X,100 EMBARCADERO,Oakland,CA,"100 EMBARCADERO
Oakland, CA
(37.791482, -122.266034)"
ASSAULT,09/11/2017 01:54:00 PM,17-047682,ATTEMPTED MURDER-FIREARM,35X,9500 CASTLEWOOD ST,Oakland,CA,"9500 CASTLEWOOD ST
Oakland, CA
(37.755903, -122.15229)"
THEFT/LARCENY,09/08/2017 09:00:00 PM,17-914174,BURGLARY-AUTO,30Y,7900 EARL ST,Oakland,CA,"7900 EARL ST
Oakland, CA
(37.770896, -122.157322)"
BURGLARY,09/14/2017 12:32:00 PM,17-048243,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,13Z,1900 MOUNTAIN BLVD,Oakland,CA,"1900 MOUNTAIN BLVD
Oakland, CA
(37.829052, -122.210828)"
WEAPONS,11/10/2017 10:15:00 AM,17-058985,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,17X,1900 7TH AV,Oakland,CA,"1900 7TH AV
Oakland, CA
(37.797567, -122.247558)"
BURGLARY,09/01/2017 02:10:00 PM,17-913787,BURGLARY-FORCIBLE ENTRY,17X,1700 6TH AVE,Oakland,CA,"1700 6TH AVE
Oakland, CA
(37.797101, -122.250084)"
THEFT/LARCENY,10/21/2017 09:45:00 AM,17-916781,BURGLARY-AUTO,26Y,1200 77TH AVE,Oakland,CA,"1200 77TH AVE
Oakland, CA
(37.75599, -122.186781)"
THEFT/LARCENY,08/31/2017 11:20:00 PM,17-913736,BURGLARY-AUTO,01X,300 WASHINGTON ST,Oakland,CA,"300 WASHINGTON ST
Oakland, CA
(37.797314, -122.277079)"
THEFT/LARCENY,10/21/2017 08:00:00 PM,17-916761,BURGLARY-AUTO,,300 VALDEZ ST,Oakland,CA,"300 VALDEZ ST
Oakland, CA
"
VANDALISM,11/23/2017 03:00:00 AM,17-061148,VANDALISM,26Y,1000 76TH AV,Oakland,CA,"1000 76TH AV
Oakland, CA
(37.754202, -122.19097)"
BURGLARY,10/24/2017 10:15:00 AM,17-055904,BURGLARY-FORCIBLE ENTRY,13X,00 BEECHWOOD DR,Oakland,CA,"00 BEECHWOOD DR
Oakland, CA
"
DRUGS/ALCOHOL VIOLATIONS,08/28/2017 01:32:00 AM,17-044981,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,06X,2500 SAN PABLO AV,Oakland,CA,"2500 SAN PABLO AV
Oakland, CA
(37.815929, -122.274939)"
THEFT/LARCENY,09/05/2017 08:40:00 PM,17-914060,THEFT,08X,3800 TELEGRAPH AVE,Oakland,CA,"3800 TELEGRAPH AVE
Oakland, CA
(37.826076, -122.265275)"
MOTOR VEHICLE THEFT,09/11/2017 09:00:00 PM,17-047747,VEHICLE THEFT - AUTO,04X,500 W GRAND AV,Oakland,CA,"500 W GRAND AV
Oakland, CA
(37.811956, -122.268974)"
VANDALISM,09/27/2017 09:00:00 PM,17-915371,VANDALISM,04X,2000 TELEGRAPH AVE,Oakland,CA,"2000 TELEGRAPH AVE
Oakland, CA
(37.809691, -122.269532)"
SEX CRIMES,09/05/2017 04:00:00 AM,17-046532,PANDERING,32Y,1900 105TH AV,Oakland,CA,"1900 105TH AV
Oakland, CA
(37.740874, -122.161701)"
THEFT/LARCENY,10/24/2017 08:16:00 AM,17-916812,THEFT,30X,8100 INTERNATIONAL BOULEVARD,Oakland,CA,"8100 INTERNATIONAL BOULEVARD
Oakland, CA
(37.756141, -122.180557)"
ROBBERY,10/05/2017 04:40:00 PM,17-052262,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,200 10TH ST,Oakland,CA,"200 10TH ST
Oakland, CA
(37.799236, -122.26697)"
VANDALISM,11/16/2017 10:50:00 AM,17-059992,VANDALISM [UNDER $400],05X,2100 POPLAR ST,Oakland,CA,"2100 POPLAR ST
Oakland, CA
(37.815443, -122.287397)"
THEFT/LARCENY,11/04/2017 06:45:00 PM,17-917451,BURGLARY-AUTO,22X,3400 FRUITVALE AVE,Oakland,CA,"3400 FRUITVALE AVE
Oakland, CA
(37.799305, -122.216552)"
ASSAULT,11/09/2017 06:00:00 PM,17-058885,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,31Z,10300 PEARMAIN ST,Oakland,CA,"10300 PEARMAIN ST
Oakland, CA
(37.735753, -122.177979)"
THEFT/LARCENY,10/24/2017 09:30:00 PM,17-916903,BURGLARY-AUTO,04X,2200BLK TELEGRAPH AVE,Oakland,CA,"2200BLK TELEGRAPH AVE
Oakland, CA
(37.811615, -122.269048)"
VANDALISM,11/23/2017 05:05:00 AM,17-061137,VANDALISM:DAMAGE PROPERTY,04X,1400 JACKSON ST,Oakland,CA,"1400 JACKSON ST
Oakland, CA
(37.801984, -122.265237)"
THEFT/LARCENY,10/20/2017 08:35:00 PM,17-916756,BURGLARY-AUTO,12X,4500 SHATTUCK AVE,Oakland,CA,"4500 SHATTUCK AVE
Oakland, CA
(37.833147, -122.263586)"
MOTOR VEHICLE THEFT,10/28/2017 10:52:00 PM,17-056698,VEHICLE THEFT - AUTO,32X,1400 101ST AV,Oakland,CA,"1400 101ST AV
Oakland, CA
(37.742106, -122.168833)"
THEFT/LARCENY,11/03/2017 01:15:00 PM,17-917466,BURGLARY-AUTO,31X,600 HEGENBERGER ROAD,Oakland,CA,"600 HEGENBERGER ROAD
Oakland, CA
(37.744964, -122.195947)"
ASSAULT,09/02/2017 10:00:00 AM,17-046038,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21Y,3100 PLEITNER AVE,Oakland,CA,"3100 PLEITNER AVE
Oakland, CA
(37.793346, -122.211878)"
MOTOR VEHICLE THEFT,11/22/2017 02:00:00 PM,17-061088,VEHICLE THEFT - AUTO,03X,00 BLK 7TH ST.,Oakland,CA,"00 BLK 7TH ST.
Oakland, CA
"
MOTOR VEHICLE THEFT,09/11/2017 09:42:00 AM,17-047937,SC STOLEN VEHICLE - AUTO,33X,1300 93RD AV,Oakland,CA,"1300 93RD AV
Oakland, CA
(37.747045, -122.174806)"
ASSAULT,09/03/2017 09:08:00 AM,17-046197,THREAT CRIME:INT:TERRORIZE,08X,00 FAIRMOUNT AV,Oakland,CA,"00 FAIRMOUNT AV
Oakland, CA
"
ROBBERY,10/04/2017 11:55:00 PM,17-052125,ROBBERY-FIREARM,03X,00 10TH ST,Oakland,CA,"00 10TH ST
Oakland, CA
"
THEFT/LARCENY,11/23/2017 07:56:00 AM,17-061162,THEFT,01X,200 5TH ST,Oakland,CA,"200 5TH ST
Oakland, CA
(37.795475, -122.268302)"
THEFT/LARCENY,10/25/2017 03:30:00 AM,17-916876,BURGLARY-AUTO,15X,200 HANOVER AVE,Oakland,CA,"200 HANOVER AVE
Oakland, CA
(37.802563, -122.253945)"
ASSAULT,10/02/2017 01:20:00 PM,17-051561,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,30X,7300 INTERNATIONAL BLVD,Oakland,CA,"7300 INTERNATIONAL BLVD
Oakland, CA
(37.759176, -122.18689)"
THEFT/LARCENY,11/16/2017 02:37:00 AM,17-059993,BURGLARY-AUTO,24X,3900 NEVIL ST,Oakland,CA,"3900 NEVIL ST
Oakland, CA
(37.784285, -122.207484)"
